Name,RA,DEC
AWI0002d4w,02:08:07.83,+68:35:02.0
AWI00023mi,02:26:56.85,+65:31:39.1
AWI0002vbr,02:36:40.96,+58:57:50.7
AWI0000zio,02:38:33.44,+61:54:31.3
AWI000425u,02:42:06.17,+55:53:29.7
AWI0002d5c,02:44:38.72,+65:50:51.2
AWI0005yjx,02:48:00.47,+36:58:01.7
AWI0004yiw,02:50:09.98,+59:56:09.4
AWI0005e2r,02:50:48.69,+69:15:30.0
AWI0005e2v,02:53:22.00,+68:46:21.0
AWI0003lvn,02:56:07.14,+56:36:34.1
AWI0002d5i,02:56:23.99,+64:50:33.1
AWI00055ve,02:58:23.87,+70:33:20.7
AWI0005e38,03:00:58.39,+69:14:56.3
AWI0003lvq,03:02:09.78,+55:45:17.2
AWI0001qpt,03:03:12.90,+62:20:19.4
AWI0000xbx,03:03:39.47,+59:13:01.5
AWI0004yjj,03:12:29.22,+58:26:34.1
AWI0003lvs,03:12:48.39,+54:57:29.3
AWI0002vc6,03:16:20.77,+55:59:40.7
AWI0003lvu,03:16:27.38,+54:28:58.0
AWI0002d61,03:23:57.12,+63:27:34.8
AWI0002d62,03:24:48.25,+63:00:29.0
AWI0000zk1,03:29:10.44,+58:22:49.3
AWI0002oyu,03:30:36.33,+55:49:17.7
AWI0002vcl,03:34:04.49,+54:30:23.5
AWI0000zr4,03:36:11.47,+57:35:19.5
AWI0002d6d,03:36:37.69,+63:26:02.8
AWI0000zr5,03:36:45.76,+57:01:16.4
AWI0004eil,03:37:30.77,+50:19:19.2
AWI00019wy,03:37:49.47,+58:18:10.1
AWI0000zkb,03:37:57.70,+57:29:31.2
AWI00034t3,03:38:18.02,+54:51:55.0
AWI00023nl,03:41:36.48,+61:01:39.6
AWI0002oyy,03:41:47.49,+54:43:20.3
AWI0002oyz,03:42:56.24,+54:33:33.1
AWI0005e3t,03:43:05.92,+66:24:07.6
AWI0004yk4,03:43:41.92,+55:08:30.3
AWI0003ct5,03:45:13.40,+52:41:01.3
AWI0002vcs,03:46:53.12,+53:16:15.3
AWI0000xcw,03:49:58.32,+54:56:39.6
AWI0000zrf,03:58:44.32,+55:07:38.9
AWI0002ozh,04:01:33.96,+52:10:03.3
AWI0002d6n,04:03:04.59,+61:56:07.7
AWI0005e45,04:03:11.69,+64:13:13.1
AWI0005zz6,04:03:24.67,-04:59:05.9
AWI0002ozj,04:04:23.72,+51:45:53.0
AWI00019xa,04:08:25.73,+55:03:07.6
AWI00019xb,04:09:20.39,+54:42:25.7
AWI0002ozn,04:15:41.77,+50:18:30.4
AWI0002vdc,04:16:34.67,+49:07:28.7
AWI00023o4,04:20:02.63,+56:38:11.3
AWI00019xi,04:20:15.98,+53:58:13.5
AWI0005e53,04:20:47.25,+62:34:59.5
AWI0003ctm,04:21:22.97,+47:40:19.2
AWI0000zkn,04:22:55.09,+51:57:09.0
AWI0002ozq,04:24:15.95,+48:51:08.8
AWI0004ej1,04:27:32.42,+41:47:02.7
AWI00055w6,04:32:24.61,+63:58:54.1
AWI000630m,04:34:35.47,+26:44:06.2
AWI0004nh2,04:35:11.76,+39:19:48.1
AWI0002ozw,04:36:22.63,+46:43:45.0
AWI0005wbr,04:36:54.18,+22:35:20.3
AWI0001qri,04:37:50.72,+51:47:38.7
AWI0005wbt,04:38:34.94,+20:26:21.1
AWI0000xda,04:39:35.94,+47:58:05.1
AWI0006306,04:40:38.52,+31:07:59.4
AWI0001qrm,04:41:33.76,+50:55:30.3
AWI0004nh5,04:41:37.46,+36:48:40.3
AWI0005myn,04:42:14.96,+33:50:26.0
AWI0002vdr,04:42:50.91,+43:53:32.0
AWI0002ozz,04:43:14.28,+45:44:12.1
AWI0001qrp,04:45:04.77,+51:25:01.2
AWI0004ej6,04:46:57.27,+38:44:13.6
