   Teff,Logg,      U,      B,      V,      R,      I,      J,      H,      K,  J-H,  J-K,  H-K
5777,4.44,-37.695,-37.841,-38.457,-38.835,-39.149,-39.567,-39.88,-39.952,0.312,0.385,0.073
1200,2.5,-15.869,-20.315,-21.012,-26.246,-28.529,-32.375,-33.929,-35.026,1.554,2.651,1.097
1200,3,-16.593,-20.975,-20.334,-26.29,-28.803,-32.845,-34.332,-35.169,1.487,2.324,0.837
1200,3.5,-16.993,-21.431,-19.401,-26.069,-28.833,-33.28,-34.566,-35.012,1.286,1.732,0.446
1200,4,-17.069,-21.523,-19.213,-25.922,-28.742,-33.381,-34.581,-34.974,1.2,1.593,0.392
1200,4.5,-18.646,-22.331,-19.639,-26.115,-28.92,-33.293,-34.549,-34.983,1.256,1.69,0.435
1200,5,-17.266,-21.576,-18.652,-25.498,-28.335,-33.757,-34.503,-34.664,0.746,0.908,0.161
1200,5.5,-17.501,-21.93,-18.189,-25.149,-28.026,-33.991,-34.434,-34.445,0.444,0.454,0.011
1300,2.5,-16.413,-20.869,-22.722,-26.887,-28.954,-32.719,-34.179,-35.275,1.46,2.556,1.095
1300,3,-16.718,-21.455,-21.949,-27.031,-29.306,-33.387,-34.537,-35.436,1.15,2.049,0.899
1300,3.5,-17.464,-21.73,-21.524,-27.072,-29.47,-33.343,-34.756,-35.566,1.413,2.223,0.81
1300,4,-17.802,-22.026,-20.773,-26.836,-29.431,-33.538,-34.848,-35.455,1.31,1.917,0.607
1300,4.5,-18.658,-22.488,-21.152,-27.111,-29.649,-33.575,-34.884,-35.5,1.31,1.926,0.616
1300,5,-18.515,-22.631,-20.474,-26.788,-29.517,-33.852,-34.986,-35.275,1.135,1.423,0.289
1300,5.5,-18.293,-22.695,-19.732,-26.151,-28.951,-34.078,-34.945,-35.051,0.866,0.973,0.106
1400,3,-17.988,-22.436,-23.548,-27.848,-29.921,-34.033,-34.959,-35.774,0.926,1.741,0.815
1400,3.5,-18.348,-22.638,-23.329,-27.957,-30.072,-34.001,-35.051,-35.858,1.05,1.856,0.806
1400,4,-18.672,-22.651,-23.156,-27.953,-30.11,-33.681,-35.033,-35.884,1.352,2.203,0.851
1400,4.5,-18.944,-22.862,-22.415,-27.747,-30.082,-33.794,-35.116,-35.858,1.322,2.064,0.742
1400,5,-19.236,-23.071,-22.402,-27.816,-30.18,-33.927,-35.19,-35.85,1.264,1.923,0.659
1400,5.5,-18.947,-23.304,-21.11,-27.031,-29.742,-34.248,-35.257,-35.552,1.009,1.304,0.295
1500,2.5,-18.917,-22.327,-25.088,-27.723,-29.664,-33.649,-34.729,-35.652,1.08,2.003,0.923
1500,3,-16.935,-21.116,-24.38,-27.231,-29.178,-32.988,-34.54,-35.658,1.552,2.669,1.118
1500,3.5,-16.82,-21.073,-24.41,-27.245,-29.178,-32.808,-34.49,-35.723,1.682,2.916,1.234
1500,4,-18.975,-22.912,-25.365,-28.445,-30.325,-33.661,-35.095,-36.145,1.434,2.483,1.05
1500,4.5,-19.317,-23.212,-25.085,-28.603,-30.525,-33.841,-35.214,-36.155,1.373,2.314,0.941
1500,5,-19.693,-23.506,-23.768,-28.389,-30.52,-34.028,-35.311,-36.119,1.283,2.091,0.808
1500,5.5,-19.926,-23.834,-23.199,-28.25,-30.558,-34.185,-35.399,-36.144,1.214,1.958,0.745
1550,5,-19.568,-23.385,-24.874,-28.658,-30.621,-33.97,-35.312,-36.226,1.342,2.256,0.914
1550,5.5,-20.071,-23.915,-24.112,-28.618,-30.741,-34.188,-35.433,-36.264,1.245,2.076,0.83
1600,2.5,-20.089,-23.236,-25.763,-28.344,-30.352,-34.49,-35.333,-36.095,0.843,1.605,0.762
1600,3,-17.617,-21.472,-24.472,-27.314,-29.315,-33.361,-34.759,-35.887,1.397,2.526,1.129
1600,3.5,-16.185,-20.573,-24.021,-27.01,-29.014,-33.014,-34.838,-36.128,1.824,3.113,1.289
1600,4,-19.299,-23.152,-25.676,-28.597,-30.485,-34.005,-35.32,-36.353,1.315,2.348,1.033
1600,4.5,-19.52,-23.433,-25.587,-28.785,-30.665,-34.048,-35.435,-36.425,1.388,2.377,0.99
1600,5,-19.777,-23.584,-25.266,-28.822,-30.733,-33.998,-35.345,-36.311,1.347,2.314,0.966
1600,5.5,-20.115,-24.011,-24.684,-28.818,-30.859,-34.25,-35.49,-36.342,1.24,2.092,0.851
1650,5,-19.946,-23.767,-25.545,-28.973,-30.868,-34.205,-35.561,-36.549,1.356,2.344,0.988
1650,5.5,-20.193,-24.164,-24.696,-28.897,-30.986,-34.49,-35.655,-36.412,1.165,1.922,0.757
1700,2.5,-15.787,-19.604,-22.859,-26.242,-28.5,-33.589,-34.996,-36.039,1.407,2.45,1.043
1700,3,-17.121,-20.939,-23.899,-26.968,-29.123,-34.055,-35.51,-36.483,1.455,2.429,0.974
1700,3.5,-16.096,-20.716,-24.159,-27.21,-29.28,-34.071,-35.604,-36.543,1.533,2.472,0.939
1700,4,-18.973,-22.96,-25.803,-28.53,-30.432,-34.478,-35.875,-36.719,1.397,2.241,0.844
1700,4.5,-19.679,-23.639,-25.792,-28.921,-30.831,-34.546,-35.807,-36.666,1.26,2.119,0.859
1700,5,-20.061,-23.923,-25.763,-29.102,-31.005,-34.467,-35.779,-36.7,1.313,2.233,0.92
1700,5.5,-20.646,-24.793,-25.425,-29.402,-31.436,-34.738,-35.836,-36.577,1.098,1.84,0.742
1750,5,-20.09,-23.965,-25.922,-29.186,-31.09,-34.698,-35.956,-36.787,1.258,2.088,0.831
1750,5.5,-20.756,-25.028,-25.683,-29.585,-31.637,-34.983,-36.004,-36.686,1.021,1.703,0.682
1800,2.5,-20.443,-22.533,-24.896,-27.699,-29.893,-34.323,-35.262,-36.129,0.939,1.805,0.867
1800,3,-19.557,-22.373,-24.786,-27.675,-29.838,-34.422,-35.639,-36.569,1.218,2.148,0.93
1800,3.5,-18.488,-22.67,-25.443,-28.385,-30.526,-34.957,-36.034,-36.77,1.077,1.813,0.736
1800,4,-19.688,-23.739,-26.252,-29.008,-30.99,-35.144,-36.196,-36.866,1.052,1.722,0.67
1800,4.5,-19.693,-23.811,-26.232,-29.055,-31.003,-35.041,-36.171,-36.853,1.13,1.812,0.682
1800,5,-20.291,-24.234,-26.173,-29.364,-31.293,-35.055,-36.21,-36.912,1.155,1.857,0.702
1800,5.5,-20.797,-25.105,-25.792,-29.679,-31.773,-35.297,-36.174,-36.735,0.877,1.439,0.562
1850,5,-20.227,-24.217,-26.183,-29.394,-31.362,-35.317,-36.403,-36.963,1.086,1.647,0.56
1850,5.5,-20.931,-25.347,-25.96,-29.83,-31.955,-35.576,-36.386,-36.854,0.81,1.278,0.468
1900,2.5,-20.419,-21.764,-23.936,-27.235,-29.624,-34.637,-35.677,-36.436,1.041,1.799,0.759
1900,3,-20.484,-22.865,-25.215,-28.25,-30.545,-35.246,-36.143,-36.818,0.897,1.572,0.675
1900,3.5,-20.152,-23.561,-25.903,-28.839,-31.068,-35.494,-36.36,-36.969,0.866,1.475,0.609
1900,4,-19.816,-23.668,-26.24,-29.007,-31.118,-35.474,-36.416,-37.025,0.942,1.55,0.609
1900,4.5,-19.95,-23.961,-26.478,-29.299,-31.324,-35.604,-36.531,-37.048,0.927,1.443,0.516
1900,5,-20.246,-24.297,-26.262,-29.44,-31.458,-35.644,-36.582,-37.026,0.937,1.381,0.444
1900,5.5,-20.98,-25.369,-26.065,-29.883,-31.997,-35.644,-36.422,-36.863,0.778,1.219,0.441
1950,5,-20.401,-24.439,-26.53,-29.599,-31.635,-35.723,-36.664,-37.121,0.942,1.398,0.457
1950,5.5,-21.101,-25.451,-26.207,-29.988,-32.119,-35.863,-36.611,-36.964,0.748,1.101,0.353
2000,2.5,-24.93,-25.102,-26.533,-29.411,-31.726,-35.973,-36.589,-37.13,0.616,1.157,0.542
2000,3,-22.108,-24.021,-26.099,-29.13,-31.443,-35.797,-36.534,-37.115,0.736,1.318,0.581
2000,3.5,-20.235,-23.187,-25.669,-28.951,-31.302,-35.779,-36.572,-37.145,0.793,1.366,0.573
2000,4,-20.226,-23.81,-26.381,-29.448,-31.671,-35.943,-36.683,-37.205,0.74,1.262,0.522
2000,4.5,-20.146,-24.068,-26.603,-29.618,-31.782,-36.029,-36.753,-37.214,0.725,1.186,0.461
2000,5,-20.353,-24.238,-26.456,-29.593,-31.622,-35.693,-36.655,-37.125,0.962,1.433,0.47
2000,5.5,-21.029,-25.136,-26.344,-30.134,-32.298,-35.999,-36.72,-37.052,0.721,1.053,0.332
2050,2.5,-25.36,-25.401,-26.399,-29.445,-31.838,-36.074,-36.699,-37.231,0.625,1.157,0.532
2050,3,-24.343,-25.185,-26.669,-29.581,-31.922,-36.069,-36.72,-37.246,0.651,1.177,0.525
2050,3.5,-21.378,-23.934,-26.173,-29.387,-31.739,-35.981,-36.706,-37.245,0.725,1.264,0.539
2050,4,-21.062,-24.479,-26.688,-29.683,-31.959,-36.051,-36.781,-37.271,0.729,1.219,0.49
2050,4.5,-20.421,-24.525,-26.861,-29.823,-32.029,-36.082,-36.819,-37.25,0.737,1.168,0.431
2050,5,-20.751,-24.834,-26.936,-30.001,-32.156,-36.154,-36.913,-37.271,0.759,1.118,0.359
2100,2.5,-25.847,-25.791,-26.659,-29.653,-32.034,-36.166,-36.761,-37.275,0.595,1.11,0.514
2100,3,-24.247,-25.024,-26.483,-29.565,-31.939,-36.074,-36.738,-37.273,0.664,1.199,0.535
2100,3.5,-22.885,-24.944,-26.871,-29.854,-32.171,-36.149,-36.8,-37.303,0.651,1.154,0.503
2100,4,-21.969,-25.18,-27.165,-30.053,-32.323,-36.211,-36.863,-37.317,0.651,1.106,0.455
2100,4.5,-20.552,-24.29,-26.775,-29.948,-32.22,-36.236,-36.922,-37.366,0.686,1.131,0.444
2100,5,-20.814,-24.803,-26.945,-30.143,-32.337,-36.244,-36.959,-37.3,0.715,1.055,0.341
2100,5.5,-21.117,-25.583,-26.514,-30.263,-32.526,-36.354,-36.992,-37.182,0.638,0.828,0.19
2150,2.5,-26.188,-26.163,-26.672,-29.767,-32.191,-36.245,-36.861,-37.371,0.616,1.126,0.51
2150,3,-25.31,-25.804,-26.821,-29.885,-32.287,-36.25,-36.888,-37.394,0.639,1.144,0.506
2150,3.5,-24.21,-25.643,-27.176,-30.148,-32.492,-36.3,-36.927,-37.408,0.627,1.109,0.481
2150,4,-22.724,-25.35,-27.213,-30.228,-32.556,-36.343,-36.986,-37.433,0.643,1.09,0.447
2150,4.5,-21.238,-25.002,-27.153,-30.181,-32.479,-36.306,-37.008,-37.427,0.702,1.121,0.419
2150,5,-20.878,-25.045,-27.23,-30.269,-32.498,-36.303,-37.031,-37.391,0.728,1.088,0.36
2200,2.5,-26.734,-26.655,-27.07,-30.117,-32.526,-36.397,-36.953,-37.43,0.556,1.033,0.478
2200,3,-25.874,-26.283,-27.214,-30.224,-32.605,-36.376,-36.963,-37.446,0.588,1.071,0.483
2200,3.5,-24.631,-26.027,-27.458,-30.367,-32.699,-36.385,-36.99,-37.461,0.605,1.076,0.471
2200,4,-23.501,-25.831,-27.534,-30.442,-32.758,-36.421,-37.04,-37.477,0.619,1.055,0.437
2200,4.5,-20.836,-24.476,-26.958,-30.287,-32.614,-36.405,-37.056,-37.485,0.651,1.08,0.429
2200,5,-20.643,-24.65,-27.155,-30.341,-32.646,-36.404,-37.129,-37.485,0.725,1.081,0.356
2200,5.5,-21.194,-25.376,-26.784,-30.428,-32.664,-36.252,-36.949,-37.24,0.697,0.988,0.291
2250,2.5,-27.204,-27.144,-27.4,-30.421,-32.824,-36.523,-37.062,-37.522,0.539,0.999,0.46
2250,3,-26.7,-27.011,-27.642,-30.606,-32.992,-36.545,-37.105,-37.559,0.56,1.014,0.454
2250,3.5,-25.578,-26.618,-27.769,-30.689,-33.038,-36.536,-37.121,-37.571,0.585,1.034,0.449
2250,4,-24.303,-26.369,-27.844,-30.741,-33.078,-36.563,-37.157,-37.573,0.593,1.009,0.416
2250,4.5,-22.507,-25.933,-27.791,-30.72,-33.034,-36.553,-37.176,-37.556,0.623,1.003,0.38
2250,5,-21.145,-25.323,-27.543,-30.595,-32.901,-36.503,-37.203,-37.555,0.7,1.052,0.351
2300,2.5,-27.946,-27.773,-27.931,-30.796,-33.158,-36.66,-37.155,-37.588,0.495,0.928,0.434
2300,3,-27.33,-27.526,-28.049,-30.88,-33.237,-36.645,-37.173,-37.608,0.528,0.963,0.436
2300,3.5,-26.121,-27.045,-28.128,-30.918,-33.237,-36.608,-37.171,-37.61,0.563,1.001,0.438
2300,4,-24.904,-26.689,-28.07,-30.916,-33.24,-36.621,-37.207,-37.622,0.587,1.001,0.414
2300,4.5,-23.702,-26.389,-28.088,-31.168,-33.46,-36.75,-37.285,-37.652,0.536,0.902,0.367
2300,5,-26.125,-26.012,-27.965,-30.968,-33.276,-36.659,-37.285,-37.611,0.627,0.953,0.326
2300,5.5,-21.817,-26.022,-27.622,-31.148,-33.429,-36.822,-37.325,-37.552,0.503,0.73,0.227
2350,2.5,-27.615,-27.651,-27.82,-30.826,-33.217,-36.687,-37.208,-37.642,0.522,0.955,0.433
2350,3,-27.75,-27.986,-28.372,-31.152,-33.505,-36.758,-37.285,-37.704,0.527,0.946,0.419
2350,3.5,-26.796,-27.594,-28.426,-31.2,-33.533,-36.74,-37.295,-37.713,0.555,0.973,0.418
2350,4,-25.791,-27.306,-28.462,-31.235,-33.56,-36.752,-37.323,-37.72,0.571,0.968,0.398
2350,4.5,-24.18,-26.874,-28.379,-31.213,-33.533,-36.735,-37.341,-37.717,0.606,0.981,0.375
2350,5,-22.747,-26.637,-28.331,-31.214,-33.539,-36.785,-37.395,-37.697,0.61,0.912,0.302
2400,2.5,-28.588,-28.499,-28.467,-31.228,-33.58,-36.85,-37.33,-37.727,0.48,0.877,0.397
2400,3,-28.067,-28.288,-28.664,-31.352,-33.677,-36.82,-37.333,-37.743,0.514,0.924,0.41
2400,3.5,-27.39,-28.066,-28.854,-31.47,-33.758,-36.808,-37.347,-37.759,0.539,0.95,0.411
2400,4,-26.344,-27.704,-28.783,-31.446,-33.745,-36.815,-37.375,-37.766,0.559,0.951,0.391
2400,4.5,-24.91,-27.064,-28.564,-31.545,-33.813,-36.879,-37.408,-37.767,0.529,0.888,0.359
2400,5,-23.478,-26.685,-28.46,-31.424,-33.732,-36.831,-37.439,-37.755,0.608,0.925,0.317
2400,5.5,-22.688,-26.622,-28.283,-31.457,-33.775,-36.862,-37.484,-37.73,0.623,0.868,0.245
2500,2.5,-29.187,-29.158,-29.063,-31.668,-33.982,-37.037,-37.517,-37.865,0.479,0.827,0.348
2500,3,-28.825,-29.063,-29.391,-31.874,-34.133,-36.996,-37.497,-37.88,0.502,0.884,0.383
2500,3.5,-28.271,-28.875,-29.529,-31.959,-34.2,-36.979,-37.507,-37.894,0.528,0.914,0.386
2500,4,-27.516,-28.597,-29.458,-31.93,-34.195,-36.977,-37.527,-37.9,0.55,0.924,0.374
2500,4.5,-26.384,-28.237,-29.408,-31.928,-34.188,-36.981,-37.55,-37.901,0.569,0.92,0.351
2500,5,-24.976,-27.562,-29.089,-31.899,-34.182,-36.997,-37.588,-37.9,0.591,0.903,0.312
2500,5.5,-23.973,-27.697,-29.24,-31.906,-34.182,-36.998,-37.619,-37.884,0.621,0.886,0.265
2600,2.5,-29.6,-29.662,-29.578,-32.044,-34.314,-37.196,-37.715,-38.006,0.519,0.81,0.291
2600,3,-29.413,-29.7,-29.972,-32.29,-34.506,-37.16,-37.661,-38.008,0.5,0.848,0.348
2600,3.5,-28.993,-29.589,-30.182,-32.414,-34.595,-37.132,-37.657,-38.02,0.524,0.887,0.363
2600,4,-28.376,-29.353,-30.183,-32.426,-34.609,-37.124,-37.669,-38.026,0.544,0.901,0.357
2600,4.5,-27.358,-28.773,-29.862,-32.472,-34.643,-37.159,-37.693,-38.031,0.534,0.871,0.338
2600,5,-26.27,-28.398,-29.734,-32.355,-34.587,-37.134,-37.721,-38.031,0.587,0.897,0.31
2600,5.5,-25.1,-27.998,-29.577,-32.293,-34.553,-37.139,-37.752,-38.023,0.613,0.884,0.271
2700,2.5,-29.95,-30.091,-30.063,-32.385,-34.599,-37.33,-37.913,-38.151,0.583,0.821,0.238
2700,3,-29.921,-30.288,-30.564,-32.703,-34.862,-37.318,-37.841,-38.148,0.523,0.831,0.307
2700,3.5,-29.589,-30.206,-30.809,-32.847,-34.949,-37.278,-37.803,-38.14,0.524,0.861,0.337
2700,4,-29.105,-30.031,-30.837,-32.87,-34.973,-37.264,-37.806,-38.144,0.542,0.88,0.338
2700,4.5,-28.72,-30.048,-31.038,-33.019,-35.105,-37.303,-37.867,-38.191,0.564,0.887,0.323
2700,5,-27.47,-29.483,-30.679,-32.828,-34.969,-37.262,-37.846,-38.151,0.584,0.889,0.305
2700,5.5,-26.371,-28.817,-30.286,-32.896,-35.019,-37.329,-37.883,-38.154,0.554,0.825,0.27
2800,2.5,-30.215,-30.479,-30.574,-32.736,-34.881,-37.446,-38.1,-38.303,0.655,0.857,0.202
2800,3,-30.281,-30.7,-31.014,-33.023,-35.121,-37.445,-38.004,-38.271,0.559,0.827,0.267
2800,3.5,-30.105,-30.757,-31.363,-33.231,-35.262,-37.416,-37.953,-38.26,0.537,0.844,0.308
2800,4,-29.751,-30.662,-31.464,-33.293,-35.309,-37.399,-37.944,-38.261,0.545,0.862,0.317
2800,4.5,-29.084,-30.277,-31.324,-33.381,-35.353,-37.406,-37.951,-38.264,0.545,0.858,0.313
2800,5,-28.584,-30.334,-31.509,-33.354,-35.365,-37.389,-37.974,-38.278,0.584,0.889,0.305
2800,5.5,-27.452,-29.62,-30.998,-33.22,-35.307,-37.399,-38.002,-38.274,0.603,0.875,0.272
2900,2.5,-30.428,-30.81,-31.017,-33.04,-35.119,-37.544,-38.279,-38.453,0.735,0.909,0.174
2900,3,-30.564,-31.027,-31.312,-33.245,-35.314,-37.562,-38.174,-38.397,0.612,0.836,0.223
