Name,RA,DEC
AWI00062c5,03:55:09.92,-53:30:32.2
AWI00062cf,04:02:33.37,-59:23:14.4
AWI00060am,05:03:49.36,-66:15:55.9
AWI00061u1,05:47:47.19,-60:22:09.8
AWI0005ys4,05:49:06.19,-22:41:13.9
AWI0004nm2,06:54:32.00,-14:29:18.5
AWI00034xl,07:10:33.01,-11:04:51.6
AWI0003m4r,07:17:51.08,-18:52:58.1
AWI0002vgp,07:20:52.02,-16:38:30.7
AWI00042di,07:25:55.26,-23:07:56.3
AWI0003m5m,07:28:44.94,-23:24:11.8
AWI0005yvx,07:38:20.30,-71:59:50.9
AWI00063fr,07:42:39.68,-47:07:22.8
AWI0003m6g,07:44:03.32,-28:28:49.5
AWI0005zof,07:45:29.88,-84:49:43.7
AWI00042f6,07:55:58.35,-34:56:25.6
AWI0004epp,07:56:36.08,-36:55:15.5
AWI0004eps,07:57:34.00,-36:45:06.1
AWI0003m7c,07:57:34.25,-33:59:27.8
AWI0003m7s,08:03:36.85,-35:49:54.7
AWI00063i4,08:07:11.67,-56:36:55.5
AWI0002vht,08:09:00.83,-34:47:38.0
AWI0004eqt,08:10:04.32,-41:13:45.0
AWI00042gd,08:12:23.35,-40:39:53.2
AWI00042gj,08:13:48.95,-41:27:04.1
AWI0003m8g,08:14:39.66,-39:05:01.9
AWI0004ypb,08:19:08.53,-35:58:49.0
AWI00042h2,08:19:16.28,-41:52:16.4
AWI00042hc,08:21:06.14,-43:06:37.6
AWI0005nih,08:25:19.65,-51:06:58.4
AWI0002p5u,08:29:32.61,-39:14:58.6
AWI0002p5y,08:32:20.83,-39:57:45.9
AWI0000zvf,08:33:11.13,-38:13:14.6
AWI0002vir,08:34:01.27,-42:13:40.2
AWI00042j1,08:34:37.45,-45:40:29.4
AWI0003mb4,08:35:09.15,-44:42:06.8
AWI0000zvj,08:35:52.52,-38:17:27.7
AWI0003mbb,08:35:53.03,-44:41:16.2
AWI0002p6d,08:36:18.52,-40:52:44.9
AWI0004nxm,08:37:40.35,-50:10:15.6
AWI000350p,08:40:20.20,-43:02:11.4
AWI0001qwn,08:40:27.15,-36:28:13.2
AWI0004nxy,08:40:41.77,-50:16:07.4
AWI0001qwp,08:41:22.01,-35:45:14.4
AWI0004yr5,08:43:13.24,-41:42:35.4
AWI0004nyg,08:46:17.35,-52:35:13.7
AWI00042ka,08:46:20.61,-48:08:28.0
AWI000563i,08:48:14.40,-19:53:28.7
AWI00042kt,08:49:34.36,-50:05:34.8
AWI0004eup,08:51:45.42,-50:54:31.8
AWI0004euy,08:53:38.25,-51:51:41.7
AWI00042lw,08:58:15.07,-51:02:44.0
AWI0000xl8,09:00:40.50,-45:22:44.3
AWI0004o09,09:02:10.88,-54:51:53.2
AWI0000zyg,09:04:01.44,-45:11:48.6
AWI0003mgt,09:06:57.05,-50:38:55.8
AWI0002p97,09:07:57.87,-47:47:34.3
AWI0001a7j,09:08:44.61,-44:15:05.6
AWI0003mh8,09:09:06.85,-50:55:47.7
AWI0000xm0,09:13:10.94,-47:18:50.7
AWI00042nt,09:13:20.37,-53:48:40.0
AWI0002p9t,09:14:02.96,-49:05:57.2
AWI0000zz0,09:14:36.59,-47:08:18.4
AWI0001a84,09:15:10.75,-44:58:34.5
AWI0002pa1,09:15:41.09,-49:18:01.8
AWI0003d4i,09:16:24.84,-51:30:39.9
AWI00063m6,09:16:25.64,-67:28:35.5
AWI0004yuc,09:17:11.99,-49:11:22.6
AWI0002pab,09:19:02.42,-49:47:56.8
AWI0002pac,09:19:17.86,-50:04:48.1
AWI00063mg,09:20:08.20,-69:59:08.8
AWI00023tz,09:20:38.02,-42:48:27.5
AWI0000xmw,09:21:13.12,-48:59:08.1
AWI0001qyj,09:24:03.76,-45:41:38.2
AWI0001a8y,09:26:17.39,-47:50:33.2
AWI0001qyn,09:26:49.23,-45:54:46.4
AWI0005ajp,09:29:17.39,-29:41:41.3
AWI0005ef7,09:39:08.45,-39:50:06.4
AWI0003mkt,09:40:03.26,-56:03:38.4
AWI0002pbl,09:41:35.63,-53:26:16.6
AWI000356g,09:44:06.68,-54:00:22.3
AWI0002pbw,09:44:35.39,-53:50:25.3
