Name,RA,DEC,ALLWISE
AWI0000zlq,06:03:22.15,+25:26:46.9,J060322.15+252646.9
AWI0003m08,06:10:26.95,+14:12:49.8,J061026.95+141249.8
AWI000638h,06:16:51.64,-08:13:33.4,J061651.64-081333.4
AWI0004ymh,06:26:27.38,+12:24:07.6,J062627.38+122407.6
AWI0000zte,06:32:10.49,+12:29:04.2,J063210.49+122904.2
AWI0004elm,06:33:29.64,-01:29:48.5,J063329.64-012948.5
AWI00042bj,06:49:30.10,-05:57:15.8,J064930.10-055715.8
AWI0003cw5,06:50:31.60,-03:08:43.2,J065031.60-030843.2
AWI0005ahj,07:30:36.97,+15:34:26.0,J073036.97+153426.0
AWI0005cve,08:27:40.47,+19:15:43.9,J082740.47+191543.9
AWI0000632,08:37:37.22,+39:58:03.7,J083737.22+395803.7
AWI00002li,10:51:01.63,+81:25:04.1,J105101.63+812504.1
AWI0000vk9,12:23:37.85,-07:14:56.4,J122337.85-071456.4
AWI00063wd,12:47:41.43,+34:22:54.0,J124741.43+342254.0
AWI0005dw9,13:01:53.64,+65:54:07.3,J130153.64+655407.3
AWI00063ys,13:24:22.79,+48:04:38.1,J132422.79+480438.1
AWI0005dcq,14:01:06.49,+76:44:53.2,J140106.49+764453.2
AWI0000s7h,14:33:12.62,+00:40:05.4,J143312.62+004005.4
AWI0000wip,14:59:06.44,+06:31:44.7,J145906.44+063144.7
AWI000644v,15:00:31.17,+25:22:25.8,J150031.17+252225.8
AWI00005bs,16:20:51.97,+04:51:35.5,J162051.97+045135.5
AWI0005dtm,16:23:13.17,+44:08:28.2,J162313.17+440828.2
AWI00000rw,16:46:15.05,+53:11:54.4,J164615.05+531154.4
AWI0005cjn,16:47:48.85,-06:46:08.3,J164748.85-064608.3
AWI0005cki,16:59:20.50,-08:07:03.5,J165920.50-080703.5
AWI0005bhp,17:18:23.39,-01:47:27.6,J171823.39-014727.6
AWI0005bhs,17:18:44.28,-08:18:50.3,J171844.28-081850.3
AWI0005bje,17:25:53.58,-00:51:25.9,J172553.58-005125.9
AWI00000ou,17:32:19.81,+37:44:14.3,J173219.81+374414.3
AWI0005bkw,17:33:12.26,-02:14:37.0,J173312.26-021437.0
AWI00058t5,17:35:46.11,-09:41:09.9,J173546.11-094109.9
AWI00058w0,17:39:34.54,-07:11:27.3,J173934.54-071127.3
AWI00058wf,17:40:06.02,-05:26:03.7,J174006.02-052603.7
AWI00058wu,17:40:47.25,-09:40:59.0,J174047.25-094059.0
AWI0005bmt,17:43:21.87,+01:02:00.4,J174321.87+010200.4
AWI00058zj,17:44:39.16,-06:48:54.7,J174439.16-064854.7
AWI0005jzo,17:45:28.42,-09:56:20.0,J174528.42-095620.0
AWI0005cob,17:47:06.74,+14:44:12.3,J174706.74+144412.3
AWI0005cog,17:48:12.06,+18:04:35.8,J174812.06+180435.8
AWI0005929,17:50:18.81,-05:11:09.9,J175018.81-051109.9
AWI0005bny,17:50:21.75,+13:27:03.1,J175021.75+132703.1
