Name,RA,DEC
AWI0001a1z,06:42:15.98,+09:32:40.5
AWI0005cve,08:27:40.47,+19:15:43.9
AWI0000632,08:37:37.22,+39:58:03.7
AWI00001q1,10:36:39.06,-13:55:20.7
AWI0000vk9,12:23:37.85,-07:14:56.4
AWI0005db2,12:39:39.87,-26:47:22.1
AWI00063wd,12:47:41.43,+34:22:54.0
AWI0005dw9,13:01:53.64,+65:54:07.3
AWI00063ys,13:24:22.79,+48:04:38.1
AWI0005doy,13:59:48.76,-12:19:38.0
AWI0005dd0,14:16:34.28,-21:45:50.2
AWI000644v,15:00:31.17,+25:22:25.8
AWI00002h7,15:36:22.23,-11:26:48.7
AWI0005cd0,15:47:37.65,-22:05:20.7
