AWI00019qi,J001251.90+651008.5
AWI00019qj,J001254.39+652830.0
AWI0002d2i,J001318.46+685733.8
AWI00019qn,J001425.91+650401.7
AWI0000zgw,J001615.05+642626.5
AWI00019r3,J002214.52+650720.7
AWI0003lsc,J002353.55+594750.5
AWI0002d2s,J002552.69+674842.3
AWI0003lsp,J003209.17+601427.6
AWI0005dzp,J003346.98+700024.0
AWI0000x91,J003653.53+632252.8
AWI0000x95,J004039.83+632148.1
AWI00023l4,J004133.61+665258.8
AWI0002ow8,J004504.59+625003.0
AWI0002owa,J004708.96+624521.0
AWI0000dgb,J004941.67-114055.8
AWI00019sj,J005216.78+655206.1
AWI0000pa8,J005347.92-720209.4
AWI00019sl,J005353.17+645626.3
AWI0005w5t,J005701.71+450949.4
AWI00019sp,J005749.81+651526.2
AWI000628m,J010055.15-713752.9
AWI0000zhk,J010110.03+643244.9
AWI0002owe,J010219.97+624830.4
AWI0000ocg,J010357.51+201145.6
AWI0005w61,J010453.12+450137.4
AWI0000k0x,J010938.22-732002.1
AWI0001qo1,J011055.01+661423.0
AWI00019t7,J011211.91+645243.4
AWI0001qo4,J011340.16+655155.6
AWI00019t9,J011411.95+645458.9
AWI0005e0f,J011922.74+710255.3
AWI00023lk,J011939.90+670904.6
AWI0001qo9,J011940.98+662844.2
AWI0002d3t,J011959.18+680218.1
AWI00023ll,J012102.10+665236.0
AWI00023lr,J012821.10+672127.8
AWI0005w6e,J012842.13+433218.0
AWI0002d3z,J012859.68+690645.8
AWI0005yj7,J013222.86+401520.3
AWI0000cwz,J013406.68-101403.5
AWI0001qoh,J013819.55+661630.8
AWI0000xa4,J014259.46+630528.8
AWI00023m0,J014735.38+665530.5
AWI0005e10,J014844.69+691938.9
AWI000634b,J014922.31+493422.9
AWI0002d4l,J015156.08+680725.7
AWI00019u5,J015241.17+642210.8
AWI0005yjd,J015806.10+383918.3
AWI0002d4w,J020807.83+683502.0
AWI0000mtn,J021828.98-682106.7
AWI00023mi,J022656.85+653139.1
AWI0002vbr,J023640.96+585750.7
AWI0000zio,J023833.44+615431.3
AWI000425u,J024206.17+555329.7
AWI0002d5c,J024438.72+655051.2
AWI0005yjx,J024800.47+365801.7
AWI0004yiw,J025009.98+595609.4
AWI0005e2r,J025048.69+691530.0
AWI0005e2v,J025322.00+684621.0
AWI00062o1,J025417.61-391042.2
AWI0003lvn,J025607.14+563634.1
AWI0002d5i,J025623.99+645033.1
AWI00055ve,J025823.87+703320.7
AWI0005e38,J030058.39+691456.3
AWI0003lvq,J030209.78+554517.2
AWI0001qpt,J030312.90+622019.4
AWI0000xbx,J030339.47+591301.5
AWI0004yjj,J031229.22+582634.1
AWI0003lvs,J031248.39+545729.3
AWI0002vc6,J031620.77+555940.7
AWI0003lvu,J031627.38+542858.0
AWI0002d61,J032357.12+632734.8
AWI0002d62,J032448.25+630029.0
AWI0000zk1,J032910.44+582249.3
AWI0002oyu,J033036.33+554917.7
AWI0002vcl,J033404.49+543023.5
AWI0000zr4,J033611.47+573519.5
AWI0002d6d,J033637.69+632602.8
AWI0000zr5,J033645.76+570116.4
AWI0004eil,J033730.77+501919.2
AWI00019wy,J033749.47+581810.1
AWI0000zkb,J033757.70+572931.2
AWI00034t3,J033818.02+545155.0
AWI00023nl,J034136.48+610139.6
AWI0002oyy,J034147.49+544320.3
AWI0002oyz,J034256.24+543333.1
AWI0005e3t,J034305.92+662407.6
AWI0004yk4,J034341.92+550830.3
AWI0003ct5,J034513.40+524101.3
AWI0002vcs,J034653.12+531615.3
AWI0000xcw,J034958.32+545639.6
AWI0000zrf,J035844.32+550738.9
AWI0002ozh,J040133.96+521003.3
AWI00062cf,J040233.37-592314.4
AWI0002d6n,J040304.59+615607.7
AWI0005e45,J040311.69+641313.1
AWI0005zz6,J040324.67-045905.9
AWI0002ozj,J040423.72+514553.0
AWI00019xa,J040825.73+550307.6
AWI00019xb,J040920.39+544225.7
