Name,RA,DEC
AWI00019qi,00:12:51.90,+65:10:08.5
AWI00019qj,00:12:54.39,+65:28:30.0
AWI0002d2i,00:13:18.46,+68:57:33.8
AWI00019qn,00:14:25.91,+65:04:01.7
AWI0000zgw,00:16:15.05,+64:26:26.5
AWI0004nc3,00:19:59.35,+56:35:38.5
AWI0003lsc,00:23:53.55,+59:47:50.5
AWI0002d2s,00:25:52.69,+67:48:42.3
AWI0005dzp,00:33:46.98,+70:00:24.0
AWI0000x91,00:36:53.53,+63:22:52.8
AWI0005w5i,00:38:52.93,+45:33:49.6
AWI00023l4,00:41:33.61,+66:52:58.8
AWI0002ow8,00:45:04.59,+62:50:03.0
AWI0002owa,00:47:08.96,+62:45:21.0
AWI00019sj,00:52:16.78,+65:52:06.1
AWI0000pa8,00:53:47.92,-72:02:09.4
AWI00019sl,00:53:53.17,+64:56:26.3
AWI0005w5t,00:57:01.71,+45:09:49.4
AWI00019sp,00:57:49.81,+65:15:26.2
AWI000628m,01:00:55.15,-71:37:52.9
AWI0005w61,01:04:53.12,+45:01:37.4
AWI0002owg,01:07:15.30,+62:46:59.0
AWI0004ndq,01:09:02.45,+57:01:31.2
AWI0000k0x,01:09:38.22,-73:20:02.1
AWI0001qo4,01:13:40.16,+65:51:55.6
AWI0004yhd,01:13:57.20,+62:49:02.1
AWI0005msy,01:14:01.61,+55:33:08.6
AWI0005e0f,01:19:22.74,+71:02:55.3
AWI00023lk,01:19:39.90,+67:09:04.6
AWI0001qo9,01:19:40.98,+66:28:44.2
AWI0002d3t,01:19:59.18,+68:02:18.1
AWI00023ll,01:21:02.10,+66:52:36.0
AWI00055t3,01:26:28.27,+75:17:14.9
AWI0002d3z,01:28:59.68,+69:06:45.8
AWI0005yj7,01:32:22.86,+40:15:20.3
AWI0000xa4,01:42:59.46,+63:05:28.8
AWI00023lz,01:47:18.27,+66:36:24.9
AWI00023m0,01:47:35.38,+66:55:30.5
AWI0005e10,01:48:44.69,+69:19:38.9
AWI000634b,01:49:22.31,+49:34:22.9
AWI0002d4l,01:51:56.08,+68:07:25.7
AWI0002d4o,01:54:33.84,+67:29:54.5
AWI00023m5,01:57:03.48,+66:08:10.5
AWI0002vbe,02:06:49.96,+60:20:44.4
AWI0002d4w,02:08:07.83,+68:35:02.0
AWI0000xae,02:12:20.69,+62:21:15.0
AWI00055tk,02:13:50.29,+75:25:45.3
AWI00023mi,02:26:56.85,+65:31:39.1
AWI0002d54,02:30:18.99,+66:58:10.3
AWI0000ipo,02:35:06.59,-59:35:52.2
AWI0005e25,02:43:51.37,+68:52:12.7
AWI0002d5c,02:44:38.72,+65:50:51.2
AWI0005yjx,02:48:00.47,+36:58:01.7
AWI0005e2r,02:50:48.69,+69:15:30.0
AWI0003lvn,02:56:07.14,+56:36:34.1
AWI0005e38,03:00:58.39,+69:14:56.3
AWI0003lvq,03:02:09.78,+55:45:17.2
AWI0001qpt,03:03:12.90,+62:20:19.4
AWI0000xbx,03:03:39.47,+59:13:01.5
AWI0004yjj,03:12:29.22,+58:26:34.1
AWI0002vc6,03:16:20.77,+55:59:40.7
AWI0003lvu,03:16:27.38,+54:28:58.0
AWI0000zk1,03:29:10.44,+58:22:49.3
AWI0002vcl,03:34:04.49,+54:30:23.5
AWI0000zr4,03:36:11.47,+57:35:19.5
AWI0004eil,03:37:30.77,+50:19:19.2
AWI0002oyy,03:41:47.49,+54:43:20.3
AWI0004yk4,03:43:41.92,+55:08:30.3
AWI0003ct5,03:45:13.40,+52:41:01.3
AWI0002vcu,03:48:54.22,+53:00:54.9
AWI00062c5,03:55:09.92,-53:30:32.2
AWI0002ozh,04:01:33.96,+52:10:03.3
AWI00062cf,04:02:33.37,-59:23:14.4
AWI0002d6n,04:03:04.59,+61:56:07.7
AWI00019xa,04:08:25.73,+55:03:07.6
AWI0002ozn,04:15:41.77,+50:18:30.4
AWI0002vdc,04:16:34.67,+49:07:28.7
AWI0004ngq,04:18:24.09,+42:05:40.0
AWI00023o4,04:20:02.63,+56:38:11.3
AWI0005e53,04:20:47.25,+62:34:59.5
AWI0003ctm,04:21:22.97,+47:40:19.2
AWI0004ej1,04:27:32.42,+41:47:02.7
AWI00055w6,04:32:24.61,+63:58:54.1
AWI000630m,04:34:35.47,+26:44:06.2
AWI0004nh2,04:35:11.76,+39:19:48.1
AWI0002ozw,04:36:22.63,+46:43:45.0
AWI0005wbt,04:38:34.94,+20:26:21.1
AWI0006306,04:40:38.52,+31:07:59.4
AWI0004nh5,04:41:37.46,+36:48:40.3
AWI0005myn,04:42:14.96,+33:50:26.0
AWI0002vdr,04:42:50.91,+43:53:32.0
AWI0002ozz,04:43:14.28,+45:44:12.1
AWI0004ej6,04:46:57.27,+38:44:13.6
AWI0004nhe,04:49:39.71,+36:10:49.0
AWI0004nhi,04:53:08.72,+34:44:55.9
AWI0001qry,04:58:28.03,+48:06:43.7
AWI00060am,05:03:49.36,-66:15:55.9
AWI0004nhr,05:05:02.57,+31:54:57.4
AWI0000zs1,05:19:02.36,+39:18:49.4
AWI0005n07,05:19:46.58,+23:40:46.7
AWI00019yt,05:24:33.80,+39:41:13.7
AWI00023p3,05:27:21.78,+43:05:42.5
AWI000428c,05:30:00.58,+27:27:11.5
AWI0001qsr,05:41:59.39,+37:00:45.1
AWI00061u1,05:47:47.19,-60:22:09.8
AWI0005ys4,05:49:06.19,-22:41:13.9
AWI00034vd,05:51:09.25,+25:39:13.1
AWI0002vep,05:53:11.58,+23:35:25.6
AWI0005n27,05:59:05.40,+05:07:54.2
AWI0000zlq,06:03:22.15,+25:26:46.9
AWI0003m08,06:10:26.95,+14:12:49.8
AWI000638h,06:16:51.64,-08:13:33.4
AWI0004ymh,06:26:27.38,+12:24:07.6
AWI0000zte,06:32:10.49,+12:29:04.2
AWI0004elm,06:33:29.64,-01:29:48.5
AWI00042bj,06:49:30.10,-05:57:15.8
AWI0003cw5,06:50:31.60,-03:08:43.2
AWI0004nm2,06:54:32.00,-14:29:18.5
AWI00034xl,07:10:33.01,-11:04:51.6
AWI0003m4r,07:17:51.08,-18:52:58.1
AWI0002vgp,07:20:52.02,-16:38:30.7
AWI00042di,07:25:55.26,-23:07:56.3
AWI0003m5m,07:28:44.94,-23:24:11.8
AWI0005ahj,07:30:36.97,+15:34:26.0
AWI0005yvx,07:38:20.30,-71:59:50.9
AWI00063fr,07:42:39.68,-47:07:22.8
AWI0003m6g,07:44:03.32,-28:28:49.5
AWI0005zof,07:45:29.88,-84:49:43.7
AWI00042f6,07:55:58.35,-34:56:25.6
AWI0004epp,07:56:36.08,-36:55:15.5
AWI0004eps,07:57:34.00,-36:45:06.1
AWI0003m7c,07:57:34.25,-33:59:27.8
AWI0003m7s,08:03:36.85,-35:49:54.7
AWI00063i4,08:07:11.67,-56:36:55.5
AWI0002vht,08:09:00.83,-34:47:38.0
AWI0004eqt,08:10:04.32,-41:13:45.0
AWI00042gd,08:12:23.35,-40:39:53.2
AWI00042gj,08:13:48.95,-41:27:04.1
AWI0003m8g,08:14:39.66,-39:05:01.9
AWI0004ypb,08:19:08.53,-35:58:49.0
AWI00042h2,08:19:16.28,-41:52:16.4
AWI00042hc,08:21:06.14,-43:06:37.6
AWI0005nih,08:25:19.65,-51:06:58.4
AWI0005cve,08:27:40.47,+19:15:43.9
AWI0002p5u,08:29:32.61,-39:14:58.6
AWI0002p5y,08:32:20.83,-39:57:45.9
AWI0000zvf,08:33:11.13,-38:13:14.6
AWI0002vir,08:34:01.27,-42:13:40.2
AWI00042j1,08:34:37.45,-45:40:29.4
AWI0003mb4,08:35:09.15,-44:42:06.8
AWI0000zvj,08:35:52.52,-38:17:27.7
AWI0003mbb,08:35:53.03,-44:41:16.2
AWI0002p6d,08:36:18.52,-40:52:44.9
AWI0000632,08:37:37.22,+39:58:03.7
AWI0004nxm,08:37:40.35,-50:10:15.6
AWI000350p,08:40:20.20,-43:02:11.4
AWI0001qwn,08:40:27.15,-36:28:13.2
AWI0004nxy,08:40:41.77,-50:16:07.4
AWI0001qwp,08:41:22.01,-35:45:14.4
AWI0004yr5,08:43:13.24,-41:42:35.4
AWI0004nyg,08:46:17.35,-52:35:13.7
AWI00042ka,08:46:20.61,-48:08:28.0
AWI000563i,08:48:14.40,-19:53:28.7
AWI00042kt,08:49:34.36,-50:05:34.8
AWI0004eup,08:51:45.42,-50:54:31.8
AWI0004euy,08:53:38.25,-51:51:41.7
AWI00042lw,08:58:15.07,-51:02:44.0
AWI0000xl8,09:00:40.50,-45:22:44.3
AWI0004o09,09:02:10.88,-54:51:53.2
AWI0000zyg,09:04:01.44,-45:11:48.6
AWI0003mgt,09:06:57.05,-50:38:55.8
AWI0002p97,09:07:57.87,-47:47:34.3
AWI0001a7j,09:08:44.61,-44:15:05.6
AWI0003mh8,09:09:06.85,-50:55:47.7
AWI0000xm0,09:13:10.94,-47:18:50.7
AWI00042nt,09:13:20.37,-53:48:40.0
AWI0002p9t,09:14:02.96,-49:05:57.2
AWI0000zz0,09:14:36.59,-47:08:18.4
AWI0001a84,09:15:10.75,-44:58:34.5
AWI0002pa1,09:15:41.09,-49:18:01.8
AWI0003d4i,09:16:24.84,-51:30:39.9
AWI00063m6,09:16:25.64,-67:28:35.5
AWI0004yuc,09:17:11.99,-49:11:22.6
AWI0002pab,09:19:02.42,-49:47:56.8
AWI0002pac,09:19:17.86,-50:04:48.1
AWI00063mg,09:20:08.20,-69:59:08.8
AWI00023tz,09:20:38.02,-42:48:27.5
AWI0000xmw,09:21:13.12,-48:59:08.1
AWI0001qyj,09:24:03.76,-45:41:38.2
AWI0001a8y,09:26:17.39,-47:50:33.2
AWI0001qyn,09:26:49.23,-45:54:46.4
AWI0005ajp,09:29:17.39,-29:41:41.3
AWI0005ef7,09:39:08.45,-39:50:06.4
AWI0003mkt,09:40:03.26,-56:03:38.4
AWI0002pbl,09:41:35.63,-53:26:16.6
AWI000356g,09:44:06.68,-54:00:22.3
AWI0002pbw,09:44:35.39,-53:50:25.3
AWI0005nqw,09:47:31.95,-65:48:52.2
AWI0003d75,09:49:26.59,-56:14:29.7
AWI000100s,09:51:06.20,-52:06:38.9
AWI00063o4,09:51:48.70,-69:20:19.4
AWI0004yx0,09:54:35.67,-53:48:55.7
AWI00042sh,09:54:35.88,-58:19:24.1
AWI0002pcz,09:54:53.69,-54:57:55.6
AWI0004yx6,09:55:48.30,-54:03:56.1
AWI0004o76,10:04:18.37,-61:44:20.8
AWI0005nsp,10:05:54.03,-66:09:33.2
AWI00042vf,10:06:34.09,-59:40:16.7
AWI00042vp,10:07:26.54,-60:37:13.0
AWI0003mqw,10:07:55.51,-58:46:30.7
AWI0005nsx,10:08:45.24,-64:46:06.5
AWI0003d9l,10:11:03.64,-58:09:44.8
AWI0003msg,10:11:09.85,-58:39:24.8
AWI00023vn,10:12:01.92,-50:20:20.8
AWI00042wc,10:12:06.21,-60:22:23.3
AWI00042ww,10:15:57.00,-60:23:43.8
AWI00042xe,10:17:36.40,-60:35:02.2
AWI0001r0c,10:17:51.54,-52:59:52.3
AWI0000xqm,10:19:31.41,-55:54:01.9
