SpType,U,B,V,Rc,Ic,J,H,Ks
O3V,-44.99009264,-43.77009264,-43.45009264,,,,,
O4V,-44.80511715,-43.60511715,-43.28511715,,,,,
O5V,-44.7669079,-43.5769079,-43.2569079,,,,,
O5.5V,-44.6885526,-43.5085526,-43.1885526,,,,,
O6V,-44.69811338,-43.52811338,-43.20811338,,,,,
O6.5V,-44.61464271,-43.45464271,-43.13464271,,,,,
O7V,-44.58876735,-43.43876735,-43.11876735,,,,,
O7.5V,-44.49705082,-43.35705082,-43.03705082,,,,,
O8V,-44.47460244,-43.34460244,-43.02460244,,,,,
O8.5V,-44.3714177,-43.2514177,-42.9314177,,,,,
O9V,-44.32153844,-43.20753844,-42.88953844,,-42.52053844,-42.12453844,-41.96053844,-41.88953844
O9.5V,-44.2731697,-43.1861697,-42.8741697,,-42.5131697,-42.1241697,-41.9631697,-41.8941697
B0V,-44.22466783,-43.15766783,-42.85066783,,-42.49566783,-42.11666783,-41.95766783,-41.89066783
B0.5V,-43.98990715,-42.96390715,-42.66890715,,-42.33090715,-41.97490715,-41.82190715,-41.75890715
B1V,-43.82066257,-42.82566257,-42.54766257,-42.43266257,-42.22266257,-41.88466257,-41.73666257,-41.67766257
B1.5V,-43.75009841,-42.84009841,-42.58809841,-42.47409841,-42.30709841,-42.01709841,-41.88509841,-41.83809841
B2V,-43.00733906,-42.21733906,-42.00733906,-41.91333906,-41.77733906,-41.55233906,-41.43933906,-41.40733906
B2.5V,-42.87554723,-42.14354723,-41.94554723,-41.85854723,-41.73554723,-41.53654723,-41.43154723,-41.40554723
B3V,-42.47774649,-41.80474649,-41.62674649,-41.54674649,-41.43474649,-41.25574649,-41.15774649,-41.13674649
B4V,-42.35487081,-41.73587081,-41.57087081,-41.49687081,-41.39487081,-41.22887081,-41.13687081,-41.12087081
B5V,-42.21424812,-41.63324812,-41.47724812,-41.40724812,-41.31224812,-41.15924812,-41.07024812,-41.05724812
