Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,goodFraction,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_parallax,G_parallax_error,256,G_distance,G_distance_error,G_dist_mod,,,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag1,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL
AWI0002zuh,263.2430417,-35.26752778,161239,263.2430519,-35.2675353,0.040472788,J173258.33-351603.1,AWI0002zuh,0.533333333,353.2159566,-1.1076675,7.449,0.028,7.263,0.019,6.323,0.02,5.672,0.05,11.499,0.022,9.302,0.023,8.143,0.021,2.197,1.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5.97502E+18,19.77888,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NaN,NaN,NaN,NaN,131,336.5764,8,72.4938,19.77888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.97502E+18,0.056529123,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002zuh
AWI0001niy,286.0014583,10.64838889,42449,286.0014585,10.6484063,0.062682774,J190400.35+103854.2,AWI0001niy,0.533333333,43.8345009,2.0813445,7.517,0.026,7.448,0.019,6.609,0.015,5.657,0.035,9.721,0.024,8.437,0.029,7.861,0.018,1.284,0.576,14.901,1.072,15.973,15.498,14.505,13.63,0.073,0.095,0.061,0.035,0.07,0.008,41265224,2.49347634,0,4.3125E+18,14.85138,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NaN,NaN,NaN,NaN,80,2703.792,4,69.23448,14.85138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3125E+18,0.079238731,27,15.4357,0.009748,13.189,-999,18.0411,0.011218,11.592,-999,12.13,-999,53,0.562082032,41,223403614,6.3,10.7,7.1,10.6,ucac4,NaN,NaN,,0.161007487,0,https://talk.diskdetective.org/#/subjects/AWI0001niy
AWI00030a1,266.6465833,-31.27880556,113412,266.646594,-31.2788228,0.070220983,J174635.18-311643.7,AWI00030a1,0.538461538,358.107468,-1.3966566,7.03,0.039,6.979,0.02,5.835,0.016,4.899,0.032,10.332,0.021,8.445,0.031,7.498,0.016,1.887,0.947,16.373,1.36,17.733,99.999,15.846,99.999,0,0.207,-0.207,9.999,0,9.999,16964794,11.31600424,0,4.05583E+18,17.53998,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NaN,NaN,NaN,NaN,106,49849.77,8,44.82148,17.53998,2.358958,20.88392,31.77004,15.37502,3.162674,NaN,NaN,4.05583E+18,0.090571341,19,21.8458,0.207157,-999,-999,-999,-999,-999,-999,-999,-999,1,7.204670304,11,111999407,-2.8,4.9,6.1,4.9,ucac4,NaN,NaN,,14.26175695,0,https://talk.diskdetective.org/#/subjects/AWI00030a1
AWI00025d7,239.6504167,-47.75913889,58345,239.6504232,-47.7591599,0.077274875,J155836.10-474532.9,AWI00025d7,0.733333333,332.3548043,4.1319493,7.328,0.03,7.095,0.02,6.482,0.016,5.821,0.034,9.619,0.021,8.342,0.049,7.676,0.021,1.277,0.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5.98459E+18,14.93728,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NaN,NaN,NaN,NaN,201,383307.1,12,60.51515,14.93728,50.31479,16.99828,33.0092,13.15215,2.315186,NaN,NaN,5.98459E+18,0.094261939,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,255287051,-27.9,5,-6.6,5,ucac4,NaN,NaN,,0.053686577,0,https://talk.diskdetective.org/#/subjects/AWI00025d7
AWI00062cf,60.63904167,-59.38733333,361091,60.6390745,-59.3873564,0.102560314,J040233.37-592314.4,AWI0000med,0.692307692,271.2028459,-44.1853687,9.808,0.023,9.686,0.02,8.719,0.022,7.316,0.08,10.806,0.022,10.198,0.026,9.96,0.023,0.608,0.238,14.444,1.463,15.907,15.198,13.904,12.731,0.061,0.064,0.02,0.028,0.031,0.023,27215907,0.217103178,0,4.68034E+18,13.47741,12.67763484,0.070626063,179.5036319,78.87906636,0.439428804,4.484808808,0.005720005,8.992601192,4.465480352,0.138518354,44.47298031,0.142857701,212,3155.985,15,1864.077,13.47741,303.187,14.7701,626.179,12.34731,1.429231,NaN,NaN,4.68034E+18,0.211989201,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198009734,-0.2,2.4,18.6,2.4,ucac4,NaN,NaN,,0.395581862,0,https://talk.diskdetective.org/#/subjects/AWI00062cf
AWI00044f6,214.9105833,-64.78708333,212570,214.9106163,-64.7870913,0.058124176,J141938.54-644713.5,AWI00044f6,0.733333333,312.1520639,-3.5060707,7.558,0.032,7.562,0.02,6.969,0.016,6.382,0.05,9.117,0.026,8.16,0.036,7.762,0.024,0.957,0.398,11.397,0.596,11.993,11.645,11.226,10.902,0.038,0.046,0.026,0.027,0.068,0.049,31056688,0.818956279,0,5.85267E+18,11.17837,4.57049957,0.231353627,19.75546968,218.7944632,11.07513346,6.700181638,0.062944955,4.478188362,-12.09355565,0.26189618,-8.928567962,0.354228917,320,22241.82,17,479.5876,11.17837,1000.459,11.5793,475.5153,10.57285,1.2509,-8.219084427,2.334314923,5.85267E+18,0.519790656,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337029145,-10.8208,1.78934,-9.16881,1.86893,tgas,3.85607,0.959092,tgas,0.108320863,1,https://talk.diskdetective.org/#/subjects/AWI00044f6
AWI0003m08,92.61229167,14.21383333,207219,92.6123098,14.2138379,0.065382145,J061026.95+141249.8,AWI0003m08,0.533333333,195.6292993,-2.37921,6.673,0.069,6.563,0.022,5.995,0.014,5.407,0.039,9.511,0.025,7.998,0.053,7.238,0.017,1.513,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,3.34448E+18,14.39047,1.870738238,0.370878221,5.044076824,534.5483295,105.9754536,8.639934883,0.272690994,5.750535117,0.935359501,0.39720388,0.664494015,0.311859238,87,1151.032,8,166.8131,14.39047,47.86609,17.10195,48.78463,12.87885,1.774581,51.20194163,0.27406094,3.34448E+18,0.043277633,2,18.709,0.019457,13.8425,0.001303,15.7028,0.00684,11.76,-999,12.477,-999,65,0.028251243,15,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0003m08
AWI0002zio,258.212875,-41.07830556,140321,258.212906,-41.0783265,0.112970122,J171251.09-410441.9,AWI0002zio,0.6,346.1889484,-1.1373547,6.163,0.09,5.983,0.039,5.128,0.015,3.915,0.027,9.295,0.026,7.44,0.033,6.62,0.021,1.855,0.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5.97186E+18,15.50915,1.226504837,0.194240002,6.314378208,815.3249539,129.1219701,9.556653673,0.22577093,5.952496327,-6.003053236,0.311305548,-4.1170856,0.211726565,236,2775.382,12,230.9356,15.50915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.97186E+18,0.088656489,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002zio
AWI0001mkz,281.1969583,3.251277778,57644,281.1969765,3.2512839,0.068914177,J184447.27+031504.6,AWI0001mkz,0.733333333,35.0705194,2.9601549,6.945,0.059,6.891,0.02,6.224,0.016,5.445,0.047,9.517,0.024,8.12,0.038,7.401,0.02,1.397,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.28023E+18,15.02922,1.152212618,0.355782687,3.238529192,867.895373,267.9905974,9.692336865,0.442327685,5.336883135,-2.975473273,0.57358284,-4.095540599,0.5523336,139,7634.354,10,101.1964,15.02922,14.89332,19.31784,38.11434,13.29359,2.121161,NaN,NaN,4.28023E+18,0.04541594,5,20.6531,0.030988,14.8718,0.034411,17.9664,0.011556,11.9718,0.033053,13.1493,0.034485,71,0.120294155,39,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0001mkz
AWI0001myc,283.0302917,6.287722222,3489,283.0303041,6.2877266,0.047199616,J185207.27+061715.8,AWI0001myc,0.533333333,38.6097015,2.7113268,6.871,0.063,6.785,0.021,5.596,0.015,4.408,0.026,9.777,0.022,8.115,0.051,7.211,0.018,1.662,0.904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.28277E+18,16.52176,1.134498292,0.254555374,4.45678389,881.446898,197.7764504,9.725980769,0.321796946,6.795779231,-0.417822649,0.450011711,-1.693025378,0.535234125,77,548.149,8,258.1286,16.52176,3.328624,22.07323,71.0276,14.67771,2.332738,NaN,NaN,4.28277E+18,0.134347207,1,21.7499,0.038047,16.9088,0.002463,20.6386,0.01888,13.0216,0.010947,14.5308,0.012898,60,0.110114776,30,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0001myc
