Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,goodFraction,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_parallax,G_parallax_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag1,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL
AWI0003q1o,230.520375,-59.9847777777778,179191,230.5203759,-59.9847783,0.00248217961733028,J152204.89-595905.2,AWI0003q1o,0.533333333333333,320.7447633,-2.4297275,8.017,0.022,7.803,0.018,6.834,0.016,5.91,0.047,9.91,0.021,8.77,0.029,8.312,0.031,1.14,0.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5875922565638858496,14.2897,0.141924629541548,0.0841524154981178,-4.48530543063072,0.110131871380185,-1.65912555202661,0.155132701437711,346,2710.914,14,194.165,14.2897,29.38349,17.25816,66.60743,12.78636,1.748826,NaN,NaN,5875922565638858496,0.0304481701014212,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456053308,16.1,4.5,14.9,3.7,ucac4,NaN,NaN,,14.6699873345158,0,https://talk.diskdetective.org/#/subjects/AWI0003q1o
AWI00037bl,230.52075,-58.2546666666667,119349,230.5207514,-58.2546673,0.00349718156122,J152204.98-581516.8,AWI00037bl,0.533333333333333,321.6865957,-0.978155,7.634,0.026,7.531,0.02,6.678,0.016,5.628,0.043,10.871,0.022,8.98,0.023,8.155,0.029,1.891,0.825000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5882915871863550208,17.58319,-0.145543861035309,0.275548555650004,-6.19680851645315,0.33672012019543,-2.75146022979513,0.436484247575714,459,2254.245,13,262.3827,17.58319,3.948767,20.97932,73.29581,15.70495,2.434921,NaN,NaN,5882915871863550208,0.149198005976871,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00037bl
AWI0005yxk,156.364541666667,-84.7466111111111,354832,156.3645502,-84.7466122,0.0048247175663559,J102527.49-844447.8,AWI0005yxk,0.533333333333333,299.5437878,-22.8648133,8.537,0.023,8.255,0.02,7.789,0.017,7.346,0.073,9.731,0.026,9.021,0.027,8.792,0.019,0.709999999999999,0.229000000000001,12.46,1.721,14.181,13.284,11.848,11.188,0.012,0.016,0.011,0.008,0.021,0.041,35193672,0.176287587539022,0,5190922109878846464,12.13526,0.0670450111581392,0.0220540572767298,-5.21602601323643,0.0494116137952021,3.19154028440748,0.0485831966821406,202,499.3504,16,84.35571,12.13526,19.25763,13.19512,37.06797,11.08573,1.396271,330.843766625864,1.3429625922642,5190922109878846464,0.0322704052566974,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,356332128,-8.1,3.3,6.2,1.6,ucac4,NaN,NaN,,0.15205176688531,0,https://talk.diskdetective.org/#/subjects/AWI0005yxk
AWI00011ai,203.227333333333,-61.0651666666667,23302,203.2273364,-61.0651668,0.0053628374317145,J133254.56-610354.6,AWI00011ai,0.533333333333333,307.9285294,1.4036898,7.584,0.024,7.616,0.02,6.754,0.017,5.819,0.043,9.669,0.021,8.382,0.036,7.782,0.024,1.287,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5869035774537991168,15.063,0.344599257158727,0.10464805229186,-6.54347473471172,0.121326189551294,-0.681225451767065,0.16249374602602,407,4722.151,18,352.008,15.063,31.34818,19.1741,84.68533,13.38864,2.008049,NaN,NaN,5869035774537991168,0.0752205330059376,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00011ai
AWI0006485,237.792416666667,-72.4376666666667,308215,237.7924204,-72.4376678,0.00575264249016065,J155110.18-722615.6,AWI0006485,0.666666666666667,315.6287236,-14.1590477,8.051,0.024,7.717,0.02,7.065,0.017,6.702,0.066,9.285,0.026,8.47,0.04,8.063,0.034,0.815,0.407,13.981,1.624,15.605,99.999,99.999,99.999,0.044,0.261,0.257,9.999,9.999,9.999,34271002,3.18925034472779,1,5794665598262861952,13.35845,0.228943022748042,0.0708342003465712,-3.40183936887198,0.0932664579025546,-2.45176601798242,0.116813407269128,237,2258.981,16,32.07956,13.35845,3.960001,15.74633,11.84325,11.82016,1.838145,NaN,NaN,5794665598262861952,0.0645025590955389,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,426130136,-4.1,8.1,-3.9,3.7,ucac4,NaN,NaN,,0.0847691181497112,1,https://talk.diskdetective.org/#/subjects/AWI0006485
AWI0003thg,264.661583333333,-35.2415555555556,188739,264.6615848,-35.241557,0.00675544815028692,J173838.78-351429.6,AWI0003thg,0.533333333333333,353.8624803,-2.0693353,7.716,0.026,7.721,0.022,7.001,0.019,5.933,0.059,9.797,0.02,8.565,0.029,8.003,0.016,1.232,0.561999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4053276227786366208,14.99,0.233556949792103,0.228646387402227,-6.51653161949553,0.329671997629953,-1.91294169264877,0.259853553367815,116,1709.108,11,111.8569,14.99,11.38564,18.88183,28.62238,13.2979,2.044578,NaN,NaN,4053276227786366208,0.110692393552657,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0003thg
AWI00023l4,10.3900416666667,66.883,83443,10.3900432,66.8830018,0.00683280232625164,J004133.61+665258.8,AWI00023l4,0.8,121.9602444,4.0299747,6.303,0.091,6.262,0.027,5.679,0.015,5.032,0.031,8.214,0.027,7.022,0.038,6.55,0.018,1.192,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,529194774651663616,12.4412,0.521696681793725,0.0830837924691766,-1.23767607643011,0.13830756827871,-1.9830378802372,0.129434723966038,257,3069.032,19,142.6678,12.4412,22.84751,15.59465,48.26044,10.96624,1.697491,NaN,NaN,529194774651663616,0.114590854309314,3,16.3971,0.12649,11.949,-999,14.2527,0.212412,10.154,-999,10.755,-999,72,0.0777310247804345,31,378935851,-3.8,5.8,-7.6,5.7,ucac4,NaN,NaN,,0.230259529878138,0,https://talk.diskdetective.org/#/subjects/AWI00023l4
AWI0002amq,276.164833333333,-2.55575,70082,276.1648344,-2.5557516,0.00692054119681423,J182439.56-023320.7,AWI0002amq,0.533333333333333,27.5890645,4.77932,7.271,0.03,7.189,0.02,6.69,0.018,6.077,0.051,9.356,0.025,8.125,0.044,7.534,0.02,1.231,0.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4270283161186291584,14.52694,0.116680793594719,0.161081902354788,-2.45973258849344,0.281211800376363,-6.09004156532646,0.254253592612558,151,3322.903,11,209.2157,14.52694,27.30392,18.81888,58.494,12.87554,1.963838,NaN,NaN,4270283161186291584,0.0846824250790352,8,19.8481,0.076265,14.1371,0.018801,17.1633,0.03195,11.51,-999,12.272,-999,72,0.0847369163360235,45,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002amq
AWI0005kzt,274.828708333333,-0.306111111111111,329376,274.8287091,-0.306113,0.00733875938533808,J181918.89-001822.0,AWI0005kzt,0.533333333333333,28.9769504,7.0017213,8.14,0.023,7.755,0.02,7.158,0.018,6.585,0.067,9.619,0.024,8.541,0.033,8.046,0.024,1.078,0.495000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4274640040422669184,13.51448,0.0590276426874498,0.103656314218419,-3.66249563487164,0.16194440160588,-5.15445272321902,0.15964328951636,178,1846.922,11,46.47963,13.51448,6.66962,15.98063,16.56781,12.11212,1.625753,NaN,NaN,4274640040422669184,0.0812811101018383,4,16.9807,0.100396,13.213,-999,16.0295,-999,11.569,-999,12.079,-999,74,0.112325530705753,27,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0005kzt
AWI0002owg,16.81375,62.7830555555556,102028,16.8137548,62.7830557,0.00792028554467665,J010715.30+624659.0,AWI0002owg,0.785714285714286,124.7393166,-0.0330921,7.224,0.032,7.237,0.02,6.343,0.016,5.379,0.035,9.459,0.022,8.174,0.021,7.565,0.02,1.285,0.608999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,523263360398349056,14.79741,0.415866234847666,0.110752143188373,-0.249568847516353,0.15748891709893,-1.58601672112844,0.169889113902961,339,5134.545,18,163.8512,14.79741,23.07198,18.9889,57.19936,13.11238,2.026537,NaN,NaN,523263360398349056,0.0467969490140679,5,20.0351,0.081688,14.7127,0.021964,17.3026,0.044261,11.656,-999,12.437,-999,57,0.0433386649313417,20,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002owg
