#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#designation, ZooniverseID, SciTeamFollowUp, SciTeamComment, goodFraction, classifiers, good, multi, oval, empty, extended, shift, state, twentyBad, twentyGood, twentyShift, majBad, majGood, majShift, pluralBad, pluralGood, pluralShift, avgBad, avgGood, avgShift, RA, Dec, glon, glat, w1mpro, w1sigmpro, w2mpro, w2sigmpro, w3mpro, w3sigmpro, w4mpro, w4sigmpro, j_m_2mass, j_msig_2mass, h_m_2mass, h_msig_2mass, k_m_2mass, k_msig_2mass, j_h, h_k, A_Vmag, A_B_V, A_Bmag, A_gMag, A_rMag, A_iMag, A_Verr, A_B_Verr, A_Berr, A_gErr, A_rErr, A_iErr, A_objid, A_dstArcSec, A_contamination, G_source_id, G_parallax, G_parallax_error, G_parallax_over_error, G_pmra, G_pmra_error, G_pmdec, G_pmdec_error, G_astrometric_n_good_obs_al, G_astrometric_chi2_al, G_visibility_periods_used, G_phot_g_mean_flux_over_error, G_phot_g_mean_mag, G_phot_bp_mean_flux_over_error, G_phot_bp_mean_mag, G_phot_rp_mean_flux_over_error, G_phot_rp_mean_mag, G_phot_bp_rp_excess_factor, G_radial_velocity, G_radial_velocity_error, G_objid, G_dstArcSec, G_contamination, P_objid, P_gMeanPSFMag, P_gMeanPSFMagErr, P_iMeanPSFMag, P_iMeanPSFMagErr, P_rMeanPSFMag, P_rMeanPSFMagErr, P_yMeanPSFMag, P_yMeanPSFMagErr, P_zMeanPSFMag, P_zMeanPSFMagErr, P_nDetections, P_dstArcSec, P_contamination, T_id, T_pmRA, T_e_pmRA, T_pmDEC, T_e_pmDEC, T_PMflag, T_plx, T_e_plx, T_PARflag, T_dstArcSec, T_contamination, fileNPath, objid, ZooniverseURL
#@string, string, string, string, float, int, int, int, int, int, int, int, string, float, float, float, float, float, float, float, float, float, float, float, float, ra, dec, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, int, string, float, float, float, float, float, float, float, int, float, int, float, float, float, float, float, float, float, float, float, string, float, int, string, float, float, float, float, float, float, float, float, float, float, int, float, int, string, float, float, float, float, string, float, float, string, float, int, string, int, string
designation,ZooniverseID,SciTeamFollowUp,SciTeamComment,goodFraction,classifiers,good,multi,oval,empty,extended,shift,state,twentyBad,twentyGood,twentyShift,majBad,majGood,majShift,pluralBad,pluralGood,pluralShift,avgBad,avgGood,avgShift,ra,dec,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_parallax,G_parallax_error,G_parallax_over_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_objid,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,fileNPath,objid,ZooniverseURL
J083345.93-390112.6,AWI0000xib,,,NaN,0,0,0,0,0,0,0,inactive,3.0191,94.9626,2.0183,4.7452,95.1544,0.1003,2.6084,97.3551,0.0366,3.457567,95.82404,0.7184,128.4413954,-39.0201727,258.4401026,0.6581747,6.784,0.048,6.84,0.022,6.612,0.015,6.361,0.052,9.196,0.027,7.662,0.034,7.111,0.016,1.534,0.551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5529458995593604480,0.336373866200855,0.0863155221582886,3.897026,-1.78707555647124,0.153947023506232,2.94661699295451,0.158817062709873,265,3968.461,16,973.921,14.04144,82.08108,17.46531,170.7655,12.49967,1.793801,57.9669907466718,0.831529296098314,5529458995593604480,0.0520962460848241,2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,,40522,https://talk.diskdetective.org/#/subjects/AWI0000xib
J155315.00-520653.8,AWI00012lh,,,NaN,0,0,0,0,0,0,0,inactive,7.0909,87.5571,5.3521,43.872,55.5581,0.5698,24.8232,74.3758,0.801,25.26203,72.497,2.240967,238.3125363,-52.11497,328.8929556,1.3466291,6.368,0.088,6.436,0.023,6.304,0.017,5.802,0.064,9.011,0.026,7.406,0.036,6.728,0.017,1.605,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5981201284973715840,0.525852233788848,0.120902818443372,4.34938,-3.24619586305173,0.244368535594304,-2.97138091475694,0.185850336870765,273,3826.931,14,1512.992,14.31413,68.03533,18.14394,198.5237,12.71641,1.877245,-69.6379933216079,0.985090232167043,5981201284973715840,0.13315058963568,2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,,49232,https://talk.diskdetective.org/#/subjects/AWI00012lh
J080302.46-684430.7,AWI0005x3k,,,NaN,0,0,0,0,0,0,0,inactive,89.9665,7.1569,2.8766,38.9359,49.4989,11.5652,16.5665,60.5584,22.8751,48.48963,39.0714,12.43897,120.7602605,-68.7418856,281.5289284,-19.0123909,13.257,0.023,13.118,0.024,9.929,0.032,8.082,0.107,14.469,0.042,13.866,0.061,13.571,0.054,0.603,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5270806135057427072,1.28857657816046,0.0513045153199896,25.11624,-10.066445240672,0.097745284176113,-1.47758733336336,0.109492182728592,196,215.6427,17,839.5635,16.57195,130.0363,17.13121,264.3586,15.62014,1.461656,NaN,NaN,5270806135057427072,0.478971771943699,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_S20_15/315469.png,315469,https://talk.diskdetective.org/#/subjects/AWI0005x3k
J111053.52-772500.4,AWI0005x8z,,,NaN,0,0,0,0,0,0,0,inactive,0.1525,96.5173,3.3302,3.2918,96.4002,0.308,1.8024,97.4034,0.7942,1.7489,96.77364,1.477467,167.7230117,-77.4167974,297.4175161,-15.6345918,10.061,0.023,9.167,0.02,6.945,0.016,5.022,0.028,14.271,0.03,12.507,0.027,11.339,0.021,1.764,1.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5201157944658575360,5.10793954362546,0.279475615614839,18.27687,-23.3914636420618,0.680123970620472,0.274372152739035,0.57799431601141,227,369.7385,17,42.79623,19.12635,3.930525,21.19542,12.19222,17.37636,2.244131,NaN,NaN,5201157944658575360,0.166876938724732,1,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_S20_15/320954.png,320954,https://talk.diskdetective.org/#/subjects/AWI0005x8z
J150846.70-423240.0,AWI00056zh,,,NaN,0,0,0,0,0,0,0,inactive,84.0829,12.8078,3.1093,56.5345,42.8168,0.6487,44.6808,54.0019,1.3173,61.76607,36.54217,1.691767,227.1946016,-42.5444465,328.2299446,13.4813882,11.237,0.023,10.875,0.021,9.037,0.03,5.938,0.053,12.32,0.024,11.74,0.022,11.462,0.024,0.58,0.278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,6004565529099467136,6.4698494437177,0.0644559783857424,100.3763,-15.5572915731917,0.129865203087056,-20.6767562227146,0.102085768009115,264,662.2843,12,1142.435,15.37715,118.1697,17.04548,438.1636,14.12739,1.504592,NaN,NaN,6004565529099467136,0.147184022881273,6,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_N10_15/226248.png,226248,https://talk.diskdetective.org/#/subjects/AWI00056zh
J132124.03-485150.8,AWI00056i9,,,NaN,0,0,0,0,0,0,0,inactive,12.7578,68.0412,19.201,44.4457,54.1068,1.4475,16.5962,81.0371,2.3667,24.5999,67.72836,7.671733,200.3501636,-48.864127,307.9963685,13.7128293,11.417,0.023,11.017,0.021,9.031,0.026,7.345,0.08,12.488,0.026,11.921,0.026,11.641,0.022,0.567,0.279999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,6083320592058578816,8.1931542062057,0.172417810387318,47.51919,-29.7964127925198,0.187072960353315,-18.5110718715327,0.195687636290868,134,580.8111,9,333.5157,15.78356,87.97265,17.63721,86.74794,14.47325,1.557096,NaN,NaN,6083320592058578816,0.188198945591044,2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_N10_15/236480.png,236480,https://talk.diskdetective.org/#/subjects/AWI00056i9
J154529.76-342338.9,AWI0005b09,,,NaN,0,0,0,0,0,0,0,inactive,2.9243,96.2971,0.7787,3.6625,96.3135,0.024,2.9681,97.0018,0.0301,3.184967,96.53747,0.2776,236.3740394,-34.3941499,339.1561588,15.9622987,7.637,0.025,6.783,0.02,5.433,0.015,3.55,0.021,12.219,0.023,10.244,0.026,8.87,0.022,1.975,1.374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,6014692477866901760,6.46183402999321,0.166038975660385,38.91757,-15.2509728027299,0.306994922553137,-22.5227499310917,0.239492516564272,528,1177.255,14,77.30327,17.71197,13.18209,19.63269,25.90777,16.16158,1.901566,NaN,NaN,6014692477866901760,0.251098825583227,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_N15_20/264877.png,264877,https://talk.diskdetective.org/#/subjects/AWI0005b09
J154518.50-342124.7,AWI0005b08,NNO,,NaN,2,2,0,0,0,0,0,active,2.4904,96.2011,1.3084,5.2285,94.7274,0.0441,3.8742,96.0827,0.0431,3.864367,95.6704,0.4652,236.3271144,-34.3568643,339.1498214,16.015713,10.153,0.022,9.508,0.02,7.538,0.019,5.764,0.051,11.644,0.027,10.954,0.025,10.482,0.022,0.69,0.472000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,6014693405579853184,6.58908475173303,0.183099933170965,35.98627,-15.1439360051777,0.343243893917884,-21.7698237395218,0.224423566721834,504,4189.639,13,181.7351,16.18164,35.35896,18.7723,68.10046,14.61011,1.878928,NaN,NaN,6014693405579853184,0.229564270485689,1,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_N15_20/268933.png,268933,https://talk.diskdetective.org/#/subjects/AWI0005b08
J120055.03-782029.4,AWI0005x9q,,,NaN,0,0,0,0,0,0,0,inactive,0.0756,96.2348,3.6896,15.1863,84.454,0.3596,14.2203,85.4666,0.3131,9.8274,88.71847,1.4541,180.2293208,-78.3415224,300.3008598,-15.7285675,10.638,0.023,10.17,0.02,8.506,0.022,6.576,0.052,11.959,0.024,11.401,0.026,11.011,0.02,0.558,0.390000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5788625396770225152,9.71282458925836,0.0819892941419345,118.4645,-40.589669488191,0.142087791151624,-4.96094668874601,0.11560443269717,239,1278.546,18,882.83,15.58257,96.3371,17.86451,286.4007,14.18203,1.637157,NaN,NaN,5788625396770225152,0.186916966726513,2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_S20_15/379947.png,379947,https://talk.diskdetective.org/#/subjects/AWI0005x9q
J111007.77-772748.0,AWI0005x8t,,,NaN,0,0,0,0,0,0,0,inactive,0.104,97.9366,1.9594,7.952,91.8832,0.1648,5.039,94.8115,0.1495,4.365,94.8771,0.7579,167.5324069,-77.4633531,297.3970021,-15.6937128,10.711,0.023,9.959,0.02,8.041,0.019,6.438,0.05,13.545,0.03,12.097,0.026,11.342,0.023,1.448,0.754999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5201151759905668608,5.0017233691094,0.324340078422718,15.42123,-22.8328046348412,0.612583199785765,0.038675577396552,0.594231492294605,233,587.3462,18,381.2009,19.17107,3.88658,21.42802,88.54357,17.43798,2.193833,NaN,NaN,5201151759905668608,0.147928724110866,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,WZ_advanced_seds_S20_15/381171.png,381171,https://talk.diskdetective.org/#/subjects/AWI0005x8t
