designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J001034.64+000856.4,2.6443666  ,0.1490066  ,101.4689526,-61.0085399,14.789,0.032    ,14.776,0.068    ,12.021,0.318    ,8.549 ,null     ,15.869   ,0.062       ,14.933   ,0.089       ,14.833   ,0.083       ,0.0314
J002008.04-010853.4,5.0335151  ,-1.1481913 ,105.5091979,-62.9561903,13.270,0.024    ,13.208,0.031    ,11.889,0.303    ,8.419 ,null     ,14.269   ,0.036       ,13.626   ,0.035       ,13.441   ,0.048       ,0.0311
J002015.57+003905.4,5.0648847  ,0.6515146  ,106.5684163,-61.2257699,14.322,0.028    ,14.205,0.047    ,12.040,0.343    ,8.943 ,null     ,15.341   ,0.042       ,14.672   ,0.056       ,14.537   ,0.058       ,0.0255     
J002421.01-001759.8,6.0875445  ,-0.2999482 ,108.1901088,-62.3938712,13.742,0.026    ,13.722,0.038    ,12.120,0.340    ,8.913 ,null     ,14.693   ,0.035       ,14.022   ,0.049       ,13.807   ,0.053       ,0.0249     
J002444.22+000433.1,6.1842682  ,0.0758659  ,108.5726946,-62.0491968,13.368,0.025    ,13.167,0.030    ,11.742,0.240    ,8.123 ,null     ,14.407   ,0.035       ,13.790   ,0.046       ,13.561   ,0.040       ,0.0287     
J003241.82+003416.2,8.1742618  ,0.5711939  ,112.9339051,-61.9362177,13.296,0.025    ,13.269,0.032    ,11.908,0.331    ,8.833 ,null     ,14.156   ,0.026       ,13.540   ,0.021       ,13.329   ,0.034       ,0.0204     
J003248.39-001049.3,8.2016472  ,-0.1803784 ,112.7398058,-62.6828626,14.670,0.032    ,14.520,0.061    ,11.981,0.364    ,8.787 ,null     ,15.629   ,0.060       ,15.275   ,0.074       ,14.757   ,0.107       ,0.0224     
J003452.26+001351.4,8.7177548  ,0.2309610  ,113.9778235,-62.3524270,14.849,0.034    ,14.669,0.067    ,11.902,0.309    ,8.903 ,null     ,15.907   ,0.065       ,15.123   ,0.060       ,14.861   ,0.090       ,0.0200     
J003525.47-173509.6,8.8561474  ,-17.5860098,100.9309591,-79.7670683,13.928,0.027    ,13.767,0.037    ,11.722,0.243    ,8.745 ,null     ,14.749   ,0.038       ,14.213   ,0.048       ,13.990   ,0.059       ,0.0183     
J003530.61+003041.4,8.8775560  ,0.5115047  ,114.3990236,-62.0960800,14.817,0.034    ,14.896,0.082    ,11.899,0.313    ,8.520 ,null     ,15.832   ,0.058       ,15.170   ,0.067       ,14.909   ,0.113       ,0.0214     
J004051.20+145813.6,10.2133708 ,14.9704591 ,119.1231802,-47.8229833,13.669,0.026    ,13.470,0.034    ,11.367,0.181    ,9.016 ,null     ,14.903   ,0.049       ,14.263   ,0.055       ,14.053   ,0.064       ,0.1025     
J004556.45+003927.2,11.4852488 ,0.6575730  ,119.9862271,-62.1827393,12.169,0.023    ,12.093,0.024    ,11.020,0.206    ,8.544 ,null     ,13.180   ,0.024       ,12.529   ,0.022       ,12.320   ,0.026       ,0.0227     
J004616.85-004055.4,11.5702339 ,-0.6820829 ,120.0392124,-63.5248726,13.496,0.025    ,13.435,0.036    ,11.670,0.332    ,8.803 ,null     ,14.433   ,0.030       ,13.822   ,0.038       ,13.612   ,0.047       ,0.0191     
J005034.69+003349.0,12.6445597 ,0.5636250  ,122.4694732,-62.3073593,13.487,0.025    ,13.313,0.036    ,11.464,0.330    ,7.943 ,null     ,14.353   ,0.033       ,13.808   ,0.030       ,13.554   ,0.037       ,0.0213     
J005158.65-003639.4,12.9943777 ,-0.6109701 ,123.2340456,-63.4824117,14.590,0.031    ,14.543,0.068    ,11.285,0.276    ,7.902 ,null     ,15.552   ,0.059       ,15.035   ,0.072       ,14.535   ,0.100       ,0.0441     
J005528.66-000507.5,13.8694369 ,-0.0854309 ,125.1524042,-62.9397695,14.570,0.031    ,14.323,0.059    ,11.980,0.346    ,8.526 ,null     ,15.558   ,0.044       ,14.967   ,0.075       ,14.825   ,0.109       ,0.0228     
J011027.11-000127.4,17.6129700 ,-0.0242785 ,133.2754420,-62.5135638,15.248,0.040    ,15.206,0.100    ,12.054,0.356    ,8.677 ,null     ,16.259   ,0.105       ,15.704   ,0.131       ,15.325   ,0.147       ,0.0279     
J012751.45+001632.9,21.9643850 ,0.2758257  ,142.1275627,-61.2312346,13.705,0.025    ,13.601,0.032    ,11.544,0.184    ,9.028 ,0.418    ,14.799   ,0.043       ,14.237   ,0.044       ,13.921   ,0.050       ,0.0337     
J012825.39+001651.7,22.1058050 ,0.2810370  ,142.4049616,-61.1845841,15.204,0.036    ,15.250,0.087    ,12.328,0.351    ,8.822 ,null     ,16.133   ,0.085       ,15.485   ,0.126       ,15.379   ,0.175       ,0.0285     
J012828.12-085642.1,22.1171792 ,-8.9450489 ,150.3622370,-69.8198078,13.028,0.023    ,12.819,0.027    ,11.635,0.229    ,8.966 ,null     ,14.047   ,0.030       ,13.541   ,0.033       ,13.180   ,0.040       ,0.0342     
J013104.83+003334.8,22.7701404 ,0.5596786  ,143.5329617,-60.7166176,14.998,0.034    ,14.976,0.070    ,12.425,0.357    ,9.237 ,null     ,16.190   ,0.093       ,15.352   ,0.104       ,15.201   ,0.137       ,0.0250     
J013531.63+234553.0,23.8818077 ,23.7647297 ,135.7626480,-38.0060506,13.824,0.026    ,13.643,0.034    ,12.041,0.277    ,8.626 ,null     ,14.802   ,0.037       ,14.260   ,0.041       ,13.959   ,0.049       ,0.1063     
J014247.91+150330.3,25.6996609 ,15.0584393 ,140.9303314,-46.0106823,14.083,0.027    ,14.008,0.040    ,12.213,0.360    ,9.238 ,null     ,15.079   ,0.045       ,14.483   ,0.048       ,14.199   ,0.076       ,0.0448     
